,Zeit,Strom
0,2012-05-01 00:00:00,834.0
1,2012-05-01 01:00:00,824.0
2,2012-05-01 02:00:00,681.0
3,2012-05-01 03:00:00,530.0
4,2012-05-01 04:00:00,672.0
5,2012-05-01 05:00:00,635.0
6,2012-05-01 06:00:00,589.0
7,2012-05-01 07:00:00,622.0
8,2012-05-01 08:00:00,641.0
9,2012-05-01 09:00:00,777.0
10,2012-05-01 10:00:00,888.0
11,2012-05-01 11:00:00,931.0
12,2012-05-01 12:00:00,1096.0
13,2012-05-01 13:00:00,917.0
14,2012-05-01 14:00:00,1026.0
15,2012-05-01 15:00:00,883.0
16,2012-05-01 16:00:00,888.0
17,2012-05-01 17:00:00,895.0
18,2012-05-01 18:00:00,938.0
19,2012-05-01 19:00:00,999.0
20,2012-05-01 20:00:00,1113.0
21,2012-05-01 21:00:00,1261.0
22,2012-05-01 22:00:00,1103.0
23,2012-05-01 23:00:00,965.0
24,2012-05-02 00:00:00,740.0
25,2012-05-02 01:00:00,752.0
26,2012-05-02 02:00:00,702.0
27,2012-05-02 03:00:00,523.0
28,2012-05-02 04:00:00,674.0
29,2012-05-02 05:00:00,638.0
30,2012-05-02 06:00:00,595.0
31,2012-05-02 07:00:00,760.0
32,2012-05-02 08:00:00,824.0
33,2012-05-02 09:00:00,1066.0
34,2012-05-02 10:00:00,1312.0
35,2012-05-02 11:00:00,1329.0
36,2012-05-02 12:00:00,1218.0
37,2012-05-02 13:00:00,1164.0
38,2012-05-02 14:00:00,1097.0
39,2012-05-02 15:00:00,1120.0
40,2012-05-02 16:00:00,966.0
41,2012-05-02 17:00:00,938.0
42,2012-05-02 18:00:00,1130.0
43,2012-05-02 19:00:00,1221.0
44,2012-05-02 20:00:00,1126.0
45,2012-05-02 21:00:00,1181.0
46,2012-05-02 22:00:00,1161.0
47,2012-05-02 23:00:00,1143.0
48,2012-05-03 00:00:00,898.0
49,2012-05-03 01:00:00,817.0
50,2012-05-03 02:00:00,708.0
51,2012-05-03 03:00:00,541.0
52,2012-05-03 04:00:00,699.0
53,2012-05-03 05:00:00,588.0
54,2012-05-03 06:00:00,658.0
55,2012-05-03 07:00:00,733.0
56,2012-05-03 08:00:00,736.0
57,2012-05-03 09:00:00,969.0
58,2012-05-03 10:00:00,1061.0
59,2012-05-03 11:00:00,1248.0
60,2012-05-03 12:00:00,1241.0
61,2012-05-03 13:00:00,1113.0
62,2012-05-03 14:00:00,988.0
63,2012-05-03 15:00:00,954.0
64,2012-05-03 16:00:00,992.0
65,2012-05-03 17:00:00,1002.0
66,2012-05-03 18:00:00,1076.0
67,2012-05-03 19:00:00,1181.0
68,2012-05-03 20:00:00,1221.0
69,2012-05-03 21:00:00,1177.0
70,2012-05-03 22:00:00,1069.0
71,2012-05-03 23:00:00,999.0
72,2012-05-04 00:00:00,955.0
73,2012-05-04 01:00:00,840.0
74,2012-05-04 02:00:00,732.0
75,2012-05-04 03:00:00,578.0
76,2012-05-04 04:00:00,709.0
77,2012-05-04 05:00:00,703.0
78,2012-05-04 06:00:00,656.0
79,2012-05-04 07:00:00,757.0
80,2012-05-04 08:00:00,907.0
81,2012-05-04 09:00:00,1012.0
82,2012-05-04 10:00:00,1080.0
83,2012-05-04 11:00:00,1298.0
84,2012-05-04 12:00:00,1271.0
85,2012-05-04 13:00:00,1252.0
86,2012-05-04 14:00:00,1211.0
87,2012-05-04 15:00:00,1207.0
88,2012-05-04 16:00:00,1078.0
89,2012-05-04 17:00:00,1092.0
90,2012-05-04 18:00:00,1126.0
91,2012-05-04 19:00:00,1376.0
92,2012-05-04 20:00:00,1349.0
93,2012-05-04 21:00:00,1198.0
94,2012-05-04 22:00:00,1110.0
95,2012-05-04 23:00:00,1006.0
96,2012-05-05 00:00:00,861.0
97,2012-05-05 01:00:00,821.0
98,2012-05-05 02:00:00,716.0
99,2012-05-05 03:00:00,574.0
100,2012-05-05 04:00:00,686.0
101,2012-05-05 05:00:00,648.0
102,2012-05-05 06:00:00,615.0
103,2012-05-05 07:00:00,739.0
104,2012-05-05 08:00:00,868.0
105,2012-05-05 09:00:00,1093.0
106,2012-05-05 10:00:00,1039.0
107,2012-05-05 11:00:00,1083.0
108,2012-05-05 12:00:00,1052.0
109,2012-05-05 13:00:00,1075.0
110,2012-05-05 14:00:00,1163.0
111,2012-05-05 15:00:00,1056.0
112,2012-05-05 16:00:00,1063.0
113,2012-05-05 17:00:00,1049.0
114,2012-05-05 18:00:00,908.0
115,2012-05-05 19:00:00,1065.0
116,2012-05-05 20:00:00,1156.0
117,2012-05-05 21:00:00,1117.0
118,2012-05-05 22:00:00,1056.0
119,2012-05-05 23:00:00,1103.0
120,2012-05-06 00:00:00,1086.0
121,2012-05-06 01:00:00,904.0
122,2012-05-06 02:00:00,781.0
123,2012-05-06 03:00:00,578.0
124,2012-05-06 04:00:00,702.0
125,2012-05-06 05:00:00,676.0
126,2012-05-06 06:00:00,662.0
127,2012-05-06 07:00:00,709.0
128,2012-05-06 08:00:00,837.0
129,2012-05-06 09:00:00,824.0
130,2012-05-06 10:00:00,955.0
